Recorder,Today's Date,Date ,Time,Phenostage ,Observer,Notes,Native-Type,Stem_Type,Flower_Type,Species
Volunteers,2/25/20,4/6/19,10:20,5,mckenziesime,"12 removed, we have one extra ",native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:24,5,mckenziesime,so 11 removed,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:30,5,mckenziesime,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:38,5,mckenziesime,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:48,5,mckenziesime,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:48,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:20,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:30,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:31,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:40,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:22,1,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:20,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/8/19,9:33,5,janninechamorro,,native,wood,head,California Brittlebush
Volunteers,2/25/20,3/29/19,18:19,5,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/11/19,16:23,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/11/19,16:25,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/11/19,16:50,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/11/19,14:55,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/14/19,8:14,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/17/19,10:35,5,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:19,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:22,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:23,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:24,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:27,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:31,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/19/19,10:09,5,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/19/19,19:07,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/28/19,19:24,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/26/19,15:05,5,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,4/26/19,15:06,5,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:14,5,fhjoyce,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:37,6,an_bui,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:14,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:19,6,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:33,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:44,5,kseltmann,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:44,5,elntangle,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/6/19,14:02,5,elizabethortiz1,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/10/19,10:10,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/10/19,10:10,7,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/10/19,15:08,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/12/19,16:45,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/16/19,16:34,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/24/19,14:29,7,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,5/31/19,16:29,6,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,6/7/19,16:07,6,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,6/7/19,16:19,6,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,6/7/19,17:05,6,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,6/7/19,15:06,7,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,6/27/19,10:59,6,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,7/19/19,13:04,6,andrewk101,,native,wood,head,California Brittlebush
Volunteers,2/25/20,7/11/19,16:35,6,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,7/11/19,16:36,6,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,7/11/19,16:36,7,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,8/13/19,14:59,6,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,8/13/19,15:05,6,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,10/12/19,11:09,6,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,10/12/19,11:15,7,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,10/12/19,10:45,7,taylorc,,native,wood,head,California Brittlebush
Volunteers,2/25/20,10/19/19,11:05,5,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:24,1,jaggerjoyner,can't find on iNat 2/18,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:26,7,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:29,6,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:42,1,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,10/24/19,16:55,1,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/16/19,10:54,6,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/22/19,12:24,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,10/19/19,10:54,7,charilethrift,,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/24/19,11:15,6,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,11/24/19,11:31,5,charilethrift,,native,wood,head,California Brittlebush
Volunteers,2/25/20,12/6/19,17:11,4,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,12/6/19,17:12,4,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,12/13/19,9:37,1,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/8/20,15:03,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/8/20,15:04,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:19,7,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:22,7,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:24,5,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:26,5,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:40,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:20,6,charilethrift,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:23,3,charilethrift,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:27,3,charilethrift,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:40,7,charilethrift,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:27,6,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:21,7,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,11:03,7,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:53,1,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,10:41,2,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/15/20,14:55,3,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/15/20,14:56,1,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:05,4,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:05,4,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:22,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/17/20,11:23,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:48,7,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:57,1,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:57,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,8:59,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/23/20,9:00,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/11/20,11:01,1,michellelee,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/29/20,10:18,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:19,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:20,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,10:20,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:23,5,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:24,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:26,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:39,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:39,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:40,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,1/31/20,13:42,2,avanwinden,,native,wood,head,California Brittlebush
Volunteers,2/25/20,2/1/20,15:56,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,2/1/20,16:02,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,2/25/20,2/1/20,16:47,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:09,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:12,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:20,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/7/20,14:26,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,1/11/20,11:00,1,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:16,2,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:17,3,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:20,4,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:22,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:19,6,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:30,3,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:30,2,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:39,3,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:37,3,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:40,3,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:39,3,michellelee,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:55,4,car0line0,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:25,4,kseltmann,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:27,4,kseltmann,,native,wood,head,California Brittlebush
Volunteers,4/6/20,2/9/20,10:32,3,kseltmann,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:09,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:09,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:10,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:11,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:20,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:21,3,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,2/26/20,10:21,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/6/20,12:11,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/6/20,12:11,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:19,2,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:20,5,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:21,6,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:24,4,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:26,4,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/7/20,10:45,5,conormcmahon,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:54,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:56,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:58,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,16:59,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:08,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:10,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:14,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,17:17,4,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:08,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:20,5,jaggerjoyner,,native,wood,head,California Brittlebush
Volunteers,4/28/20,3/17/20,18:21,5,jaggerjoyner,,native,wood,head,California Brittlebush